"UN Region","Year","Prevalence of anaemia in pregnant women (aged 15-49) (%)","Number of pregnant women (aged 15-49 years) with anaemia (thousands)"
"Western Africa"," 2007","57.6 [55.0-59.8]","4341 [4142-4501]"
"Western Africa"," 2006","57.9 [55.2-59.9]","4273 [4079-4426]"
"Western Africa"," 2005","58.1 [55.4-60.1]","4203 [4012-4352]"
"Western Africa"," 2004","58.2 [55.6-60.3]","4132 [3944-4277]"
"Western Africa"," 2003","58.4 [55.7-60.5]","4058 [3875-4202]"
"Western Africa"," 2002","58.5 [55.8-60.6]","3980 [3796-4121]"
"Western Africa"," 2001","58.6 [55.8-60.7]","3901 [3713-4041]"
"Western Africa"," 2000","58.7 [55.7-60.8]","3820 [3627-3961]"
"Northern America and Europe"," 2019","17.1 [11.9-23.7]","1264 [876-1748]"
"Northern America and Europe"," 2018","17.0 [12.0-23.2]","1262 [890-1723]"
"Northern America and Europe"," 2017","16.9 [12.1-22.9]","1261 [905-1707]"
"Northern America and Europe"," 2016","16.8 [12.2-22.4]","1260 [913-1682]"
"Northern America and Europe"," 2015","16.7 [12.2-22.0]","1259 [919-1664]"
"Northern America and Europe"," 2014","16.6 [12.2-21.8]","1258 [925-1655]"
"Northern America and Europe"," 2013","16.5 [12.2-21.5]","1257 [935-1641]"
"Northern America and Europe"," 2012","16.4 [12.2-21.3]","1257 [938-1635]"
"Northern America and Europe"," 2011","16.3 [12.2-21.1]","1256 [941-1629]"
"Northern America and Europe"," 2010","16.2 [12.2-20.9]","1253 [942-1618]"
"Northern America and Europe"," 2009","16.2 [12.2-20.8]","1252 [942-1612]"
"Northern America and Europe"," 2008","16.2 [12.2-20.8]","1248 [944-1607]"
"Northern America and Europe"," 2007","16.2 [12.2-20.8]","1241 [937-1593]"
"Northern America and Europe"," 2006","16.2 [12.2-20.8]","1230 [929-1576]"
"Northern America and Europe"," 2005","16.2 [12.2-20.8]","1217 [917-1561]"
"Northern America and Europe"," 2004","16.3 [12.3-20.9]","1206 [910-1551]"
"Northern America and Europe"," 2003","16.4 [12.4-21.0]","1198 [905-1537]"
"Northern America and Europe"," 2002","16.5 [12.4-21.2]","1193 [902-1532]"
"Northern America and Europe"," 2001","16.6 [12.5-21.5]","1196 [899-1543]"
"Northern America and Europe"," 2000","16.9 [12.6-21.9]","1210 [904-1570]"
"Northern America (21)"," 2019","11.9 [7.6-18.9]","317 [202-503]"
"Northern America (21)"," 2018","11.7 [7.7-17.7]","310 [204-471]"
"Northern America (21)"," 2017","11.5 [7.9-17.1]","305 [208-452]"
"Northern America (21)"," 2016","11.4 [8.0-16.4]","300 [211-433]"
"Northern America (21)"," 2015","11.2 [8.1-15.8]","297 [214-418]"
"Northern America (21)"," 2014","11.1 [8.1-15.4]","295 [215-409]"
"Northern America (21)"," 2013","10.9 [8.1-15.0]","292 [216-400]"
"Northern America (21)"," 2012","10.8 [8.0-14.4]","290 [217-388]"
"Northern America (21)"," 2011","10.6 [8.0-13.9]","288 [219-380]"
"Northern America (21)"," 2010","10.4 [7.9-13.5]","285 [218-371]"
"Northern America (21)"," 2009","10.2 [7.9-13.3]","282 [219-367]"
"Northern America (21)"," 2008","10.1 [7.8-13.0]","280 [217-362]"
"Northern America (21)"," 2007","9.9 [7.7-12.8]","276 [215-358]"
"Northern America (21)"," 2006","9.8 [7.6-12.6]","272 [212-350]"
"Northern America (21)"," 2005","9.6 [7.5-12.5]","266 [207-345]"
"Northern America (21)"," 2004","9.5 [7.4-12.4]","262 [203-340]"
"Northern America (21)"," 2003","9.5 [7.4-12.3]","259 [201-335]"
"Northern America (21)"," 2002","9.6 [7.4-12.5]","258 [198-338]"
"Northern America (21)"," 2001","9.7 [7.3-12.9]","259 [195-345]"
"Northern America (21)"," 2000","9.9 [7.4-13.5]","263 [195-357]"
"Latin America and the Caribbean"," 2019","21.9 [15.5-29.4]","1413 [1003-1904]"
"Latin America and the Caribbean"," 2018","21.9 [15.9-29.1]","1423 [1034-1893]"
"Latin America and the Caribbean"," 2017","22.0 [16.2-28.9]","1437 [1057-1888]"
"Latin America and the Caribbean"," 2016","22.1 [16.6-28.6]","1451 [1093-1882]"
"Latin America and the Caribbean"," 2015","22.3 [17.1-28.6]","1471 [1129-1886]"
"Latin America and the Caribbean"," 2014","22.5 [17.5-28.5]","1492 [1159-1889]"
"Latin America and the Caribbean"," 2013","22.8 [17.9-28.6]","1513 [1189-1901]"
"Latin America and the Caribbean"," 2012","23.1 [18.3-28.9]","1541 [1222-1925]"
"Latin America and the Caribbean"," 2011","23.6 [18.7-29.1]","1573 [1248-1946]"
"Latin America and the Caribbean"," 2010","24.1 [19.2-29.5]","1611 [1289-1979]"
"Latin America and the Caribbean"," 2009","24.6 [19.7-30.1]","1655 [1322-2022]"
"Latin America and the Caribbean"," 2008","25.2 [20.3-30.7]","1703 [1368-2074]"
"Latin America and the Caribbean"," 2007","25.8 [20.8-31.3]","1753 [1413-2129]"
"Latin America and the Caribbean"," 2006","26.4 [21.3-31.9]","1804 [1458-2187]"
"Latin America and the Caribbean"," 2005","26.9 [21.7-32.5]","1853 [1498-2244]"
"Latin America and the Caribbean"," 2004","27.3 [22.1-33.1]","1900 [1536-2301]"
"Latin America and the Caribbean"," 2003","27.6 [22.3-33.5]","1939 [1569-2355]"
"Latin America and the Caribbean"," 2002","27.9 [22.6-34.0]","1975 [1600-2411]"
"Latin America and the Caribbean"," 2001","28.2 [22.7-34.4]","2012 [1620-2460]"
"Latin America and the Caribbean"," 2000","28.5 [22.8-34.9]","2054 [1646-2515]"
"Caribbean"," 2019","34.0 [26.7-42.3]","147 [115-183]"
"Caribbean"," 2018","34.0 [27.1-41.9]","149 [118-183]"
"Caribbean"," 2017","34.1 [27.5-41.7]","150 [121-184]"
"Caribbean"," 2016","34.2 [27.8-41.5]","152 [124-185]"
"Caribbean"," 2015","34.3 [28.0-41.3]","154 [126-186]"
"Caribbean"," 2014","34.4 [28.3-41.2]","156 [128-187]"
"Caribbean"," 2013","34.5 [28.5-41.1]","157 [130-188]"
"Caribbean"," 2012","34.7 [28.7-41.2]","159 [131-189]"
"Caribbean"," 2011","34.9 [28.8-41.3]","161 [133-190]"
"Caribbean"," 2010","35.2 [29.2-41.5]","163 [135-192]"
"Caribbean"," 2009","35.6 [29.4-41.9]","165 [136-194]"
"Caribbean"," 2008","36.0 [29.8-42.2]","167 [138-196]"
"Caribbean"," 2007","36.4 [30.2-42.7]","170 [141-199]"
"Caribbean"," 2006","36.9 [30.6-43.2]","172 [143-202]"
"Caribbean"," 2005","37.4 [30.9-43.8]","176 [145-205]"
"Caribbean"," 2004","37.9 [31.2-44.3]","179 [147-209]"
"Caribbean"," 2003","38.2 [31.5-44.7]","181 [150-212]"
"Caribbean"," 2002","38.5 [31.8-45.0]","184 [152-215]"
"Caribbean"," 2001","38.8 [31.8-45.4]","187 [153-218]"
"Caribbean"," 2000","39.1 [32.0-45.9]","189 [155-222]"
"Central America"," 2019","19.3 [11.9-28.8]","388 [239-580]"
"Central America"," 2018","19.3 [12.5-27.7]","390 [252-560]"
"Central America"," 2017","19.4 [13.0-27.0]","394 [265-548]"
"Central America"," 2016","19.6 [13.7-26.5]","399 [279-540]"
"Central America"," 2015","19.8 [14.3-26.2]","404 [293-536]"
"Central America"," 2014","20.0 [14.8-26.0]","411 [303-533]"
"Central America"," 2013","20.3 [15.5-25.9]","418 [317-532]"
"Central America"," 2012","20.7 [16.0-26.0]","425 [330-535]"
"Central America"," 2011","21.1 [16.6-26.2]","434 [342-538]"
"Central America"," 2010","21.6 [17.2-26.4]","444 [354-543]"
"Central America"," 2009","22.1 [17.8-26.8]","454 [366-551]"
"Central America"," 2008","22.6 [18.4-27.1]","466 [379-558]"
"Central America"," 2007","23.2 [19.1-27.5]","479 [395-568]"
"Central America"," 2006","23.7 [19.6-28.1]","491 [407-582]"
"Central America"," 2005","24.2 [20.3-28.5]","505 [423-594]"
"Central America"," 2004","24.8 [20.8-29.1]","519 [435-609]"
"Central America"," 2003","25.3 [21.2-29.7]","532 [446-626]"
"Central America"," 2002","25.7 [21.6-30.2]","544 [457-639]"
"Central America"," 2001","26.2 [21.9-30.8]","557 [464-655]"
"Central America"," 2000","26.8 [22.2-31.6]","572 [473-673]"
"South America"," 2019","21.8 [14.2-31.7]","879 [573-1276]"
"South America"," 2018","21.8 [14.5-31.3]","885 [588-1270]"
"South America"," 2017","21.9 [14.8-31.1]","893 [604-1267]"
"South America"," 2016","22.0 [15.1-30.9]","901 [618-1266]"
"South America"," 2015","22.2 [15.3-30.8]","912 [631-1267]"
"South America"," 2014","22.4 [15.7-30.8]","925 [648-1269]"
"South America"," 2013","22.7 [16.1-30.9]","938 [664-1276]"
"South America"," 2012","23.1 [16.4-31.3]","956 [680-1297]"
"South America"," 2011","23.5 [16.7-31.7]","978 [694-1319]"
"South America"," 2010","24.0 [17.1-32.1]","1005 [716-1342]"
"South America"," 2009","24.7 [17.7-32.7]","1036 [742-1372]"
"South America"," 2008","25.3 [18.2-33.3]","1069 [769-1409]"
"South America"," 2007","25.9 [18.7-34.1]","1104 [799-1455]"
"South America"," 2006","26.5 [19.2-34.8]","1140 [825-1496]"
"South America"," 2005","27.0 [19.5-35.4]","1173 [849-1539]"
"South America"," 2004","27.3 [19.9-35.8]","1202 [873-1575]"
"South America"," 2003","27.6 [20.0-36.4]","1226 [887-1620]"
"South America"," 2002","27.7 [20.1-36.7]","1247 [903-1651]"
"South America"," 2001","27.9 [20.1-37.0]","1269 [914-1681]"
"South America"," 2000","28.2 [20.3-37.6]","1294 [929-1724]"
"Europe (150)"," 2019","20.1 [12.9-28.9]","947 [611-1365]"
"Europe (150)"," 2018","19.9 [13.0-28.5]","952 [622-1361]"
"Europe (150)"," 2017","19.8 [13.1-28.3]","957 [632-1363]"
"Europe (150)"," 2016","19.7 [13.2-28.0]","960 [642-1363]"
"Europe (150)"," 2015","19.6 [13.1-27.7]","962 [643-1357]"
"Europe (150)"," 2014","19.5 [13.2-27.2]","963 [652-1344]"
"Europe (150)"," 2013","19.4 [13.2-27.0]","965 [657-1338]"
"Europe (150)"," 2012","19.4 [13.3-26.7]","967 [664-1329]"
"Europe (150)"," 2011","19.4 [13.4-26.4]","968 [668-1318]"
"Europe (150)"," 2010","19.4 [13.5-26.3]","968 [673-1312]"
"Europe (150)"," 2009","19.5 [13.6-26.4]","969 [674-1310]"
"Europe (150)"," 2008","19.7 [13.7-26.6]","968 [675-1309]"
"Europe (150)"," 2007","19.8 [14.0-26.8]","965 [680-1304]"
"Europe (150)"," 2006","19.9 [14.1-26.8]","958 [676-1290]"
"Europe (150)"," 2005","20.1 [14.2-27.0]","951 [671-1278]"
"Europe (150)"," 2004","20.2 [14.2-27.2]","944 [664-1267]"
"Europe (150)"," 2003","20.4 [14.3-27.3]","938 [659-1257]"
"Europe (150)"," 2002","20.5 [14.4-27.5]","935 [654-1254]"
"Europe (150)"," 2001","20.7 [14.5-27.8]","937 [654-1256]"
"Europe (150)"," 2000","21.0 [14.6-28.1]","947 [659-1269]"
"Eastern Europe"," 2019","23.4 [11.6-38.6]","467 [231-772]"
"Eastern Europe"," 2018","23.2 [11.8-38.1]","474 [239-775]"
"Eastern Europe"," 2017","23.2 [11.9-37.7]","479 [247-780]"
"Eastern Europe"," 2016","23.1 [12.1-37.2]","484 [253-780]"
"Eastern Europe"," 2015","23.0 [12.2-36.7]","487 [257-775]"
"Eastern Europe"," 2014","23.0 [12.3-36.4]","489 [261-774]"
"Eastern Europe"," 2013","23.0 [12.4-36.5]","490 [263-775]"
"Eastern Europe"," 2012","23.1 [12.5-36.5]","491 [265-774]"
"Eastern Europe"," 2011","23.3 [12.7-36.8]","490 [267-774]"
"Eastern Europe"," 2010","23.4 [12.8-36.8]","488 [266-767]"
"Eastern Europe"," 2009","23.7 [13.0-37.0]","487 [267-760]"
"Eastern Europe"," 2008","24.0 [13.4-37.4]","484 [270-754]"
"Eastern Europe"," 2007","24.3 [13.6-37.8]","480 [268-745]"
"Eastern Europe"," 2006","24.6 [13.8-38.2]","474 [265-734]"
"Eastern Europe"," 2005","24.9 [14.0-38.7]","467 [262-724]"
"Eastern Europe"," 2004","25.3 [14.2-39.0]","461 [259-710]"
"Eastern Europe"," 2003","25.6 [14.6-39.1]","456 [260-695]"
"Eastern Europe"," 2002","25.8 [14.7-39.3]","451 [256-686]"
